ticker,isin_code,figi_code,company_name,notification_date,effective_date,reason,alert_code,alert_language,etldatetime
HNG,VN000000HNG9,BBG009L960Q2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,09/07/2020,09/05/2022,"Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -4.096,97 tỷ đồng và có ý kiến kiểm toán là chấp nhận toàn phần căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.",C,VN,2023-06-01 09:20:39
NVT,VN000000NVT3,BBG000QTW822,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,09/24/2018,08/31/2022,"<p>Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -710,458 tỷ đồng căn cứ BCTC Hợp nhất soát xét bán niên năm 2022.</p>",C,VN,2023-06-01 09:20:39
SCD,VN000000SCD6,BBG000QMWS69,Công ty Cổ phần Nước giải khát Chương Dương,04/21/2022,08/17/2022,"Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2022 là -46,48 tỷ đồng và có ý kiến kiểm toán là chấp nhận toàn phần căn cứ BCTC soát xét bán niên năm 2022.",C,VN,2023-06-01 09:20:39
PMG,VN000000PMG4,BBG00JN3TXJ2,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,04/23/2021,10/20/2021,"Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng 2021 là -34,862 tỷ đồng và Lợi nhuận sau thuế chưa phân phối tại ngày 30/06/2021 là -78,535 tỷ đồng.",C,VN,2023-06-01 09:20:39
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,05/28/2021,09/14/2021,"<p>Lợi nhuận sau thuế của công ty mẹ 06 tháng đầu năm 2021 của NVT là 173,725 tỷ đồng và lợi nhuận sau thuế chưa phân phối tính đến ngày 30/6/2021 là 15,628 tỷ đồng. Tuy nhiên, kiểm toán có ý kiến ngoại trừ liên quan đến các khoản phải nộp và khoản phải thu đối với các quyết định Cục thuế TP.HCM.</p>",C,VN,2023-06-01 09:20:39
HAS,VN000000HAS1,BBG000M992T0,Công ty Cổ phần HACISCO,10/04/2013,08/23/2021,"<p>Lợi nhuận sau thuế của cổ đông công ty mẹ 6 tháng đầu năm 2021 là 1,75 tỷ đồng và Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2021 là 2,02 tỷ đồng và không còn ý kiến ngoại trừ trên BCTC soát xét bán niên năm 2021.</p>",C,VN,2023-06-01 09:20:39
HAS,VN000000HAS1,BBG000M992T0,Công ty Cổ phần HACISCO,10/04/2013,08/23/2021,"<p>Lợi nhuận sau thuế của cổ đông Công ty mẹ 6 tháng đầu năm 2019 của công ty là 1,47 tỷ đồng và Lợi nhuận sau thuế chưa phân phối đến ngày 30/06/2019 là 2,47 tỷ đồng và vẫn còn ý kiến kiểm toán ngoại trừ liên quan đến các khoản công nợ phải thu 14,6 tỷ và công nợ phải trả 12,88 tỷ đồng tại thời điểm 30/06/2019 chưa có đối chiếu nên công ty kiểm toán không thể thu thập được đầy đủ các tài liệu cần thiết để có thể đưa ra kết luận đối với số liệu này.</p>",C,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,04/15/2021,04/15/2021,Lợi nhuận sau thuế thu nhập doanh nghiệp của cổ đông của Tổng Công ty năm 2020 là -10.927 tỷ đồng. Lợi nhuận sau thuế chưa phân phối tại ngày 31/12/2020 là -9.328 tỷ đồng.,C,VN,2023-06-01 09:20:39
MHC,VN000000MHC0,BBG000BX72W7,Công ty Cổ phần MHC,04/06/2021,04/06/2021,Công ty có Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2020 là -1.169 tỷ đồng căn cứ trên BCTC HN kiểm toán năm 2020.,C,VN,2023-06-01 09:20:39
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,04/06/2021,04/06/2021,"Thông tin về việc truy thu thuế ảnh hưởng lớn đến hoạt động sản xuất kinh doanh và tình hình tài chính của Công ty, SGDCK TP.HCM xét thấy cần thiết để bảo vệ quyền lợi của các nhà đầu tư sau khi được UBCKNN chấp thuận.",C,VN,2023-06-01 09:20:39
