STT,Ma CK,Ma ISIN,Ma FIGI,Ten cong ty,Ngay thong bao,Hieu luc tu ngay,Ly do
1,AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,02/03/2023,01/03/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính soát xét bán niên năm 2022 quá 6 tháng so với thời hạn quy định.
2,GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,17/02/2023,27/02/2023,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 6 tháng so với thời hạn quy định.
